Date,Pure number,Signal
1999-01-08,0.085,
1999-01-10,0.0631,
1999-01-15,0.1748,
1999-01-22,0.1655,
1999-01-29,0.1305,
1999-02-04,0.073,
1999-02-05,0.1546,
1999-02-07,0.0385,
1999-02-12,0.1888,
1999-02-19,0.1885,
1999-02-26,0.1715,
1999-03-05,0.1408,
1999-03-09,0.0557,
1999-03-12,0.129,
1999-03-19,0.0606,
1999-03-26,0.1044,
1999-04-02,0.0721,
1999-04-06,0.0443,
1999-04-09,0.0784,
1999-04-16,0.0541,
1999-04-23,0.093,
1999-04-30,0.0642,
1999-05-02,0.1563,
1999-05-03,0.1428,
1999-05-07,0.0533,
1999-05-11,0.0516,
1999-05-14,0.0464,
1999-05-21,0.0511,
1999-05-28,0.0519,
1999-06-04,0.0439,
1999-06-08,0.0868,
1999-06-11,0.051,
1999-06-18,0.0453,
1999-06-25,0.0403,
1999-07-02,0.0384,
1999-07-05,0.0537,
1999-07-09,0.0304,
1999-07-16,0.0354,
1999-07-23,0.0881,
1999-07-30,0.0916,
1999-08-01,0.0854,
1999-08-06,0.0866,
1999-08-10,0.0696,
1999-08-13,0.0809,
1999-08-20,0.0828,
1999-08-27,0.0637,
1999-09-03,0.0555,
1999-09-04,0.0793,
1999-09-07,0.0306,
1999-09-10,0.0494,
1999-09-17,0.0528,
1999-09-24,0.0637,
1999-10-01,0.0632,
1999-10-08,0.0696,
1999-10-09,0.0494,
1999-10-12,0.0684,
1999-10-15,0.0984,
1999-10-22,0.1033,
1999-10-29,0.0988,
1999-11-05,0.0518,
1999-11-06,0.0515,0.0
1999-11-12,0.0461,1.0
1999-11-19,0.0517,1.0
1999-11-26,0.0578,1.0
1999-12-02,0.1911,1.0
1999-12-03,0.0494,-1.0
1999-12-10,0.0685,1.0
1999-12-11,0.046,0.0
1999-12-17,0.0604,1.0
1999-12-24,0.0572,0.0
1999-12-31,0.0544,0.0
2000-01-07,0.0934,1.0
2000-01-09,0.1145,0.0
2000-01-12,0.1621,0.0
2000-01-14,0.0683,-1.0
2000-01-21,0.0477,0.0
2000-01-28,0.0795,1.0
2000-02-04,0.0736,0.0
2000-02-06,0.2059,0.0
2000-02-11,0.0584,-1.0
2000-02-18,0.0454,1.0
2000-02-25,0.0795,1.0
2000-03-03,0.0666,0.0
2000-03-10,0.069,0.0
2000-03-11,0.1133,0.0
2000-03-17,0.0639,0.0
2000-03-24,0.058,0.0
2000-03-31,0.0975,1.0
2000-04-02,0.0734,0.0
2000-04-07,0.1001,0.0
2000-04-08,0.1636,0.0
2000-04-14,0.1326,-1.0
2000-04-21,0.1104,-1.0
2000-04-28,0.1693,-1.0
2000-05-05,0.1968,-1.0
2000-05-12,0.1857,-1.0
2000-05-19,0.1637,-1.0
2000-05-26,0.2343,-1.0
2000-06-02,0.2099,-1.0
2000-06-09,0.1367,-1.0
2000-06-10,0.1013,-1.0
2000-06-16,0.1157,-1.0
2000-06-23,0.1587,-1.0
2000-06-30,0.1657,-1.0
2000-07-01,0.0933,-1.0
2000-07-04,0.099,-1.0
2000-07-07,0.1158,0.0
2000-07-14,0.1106,-1.0
2000-07-21,0.1682,-1.0
2000-07-28,0.1543,-1.0
2000-08-04,0.1667,-1.0
2000-08-09,0.1434,-1.0
2000-08-11,0.1254,-1.0
2000-08-12,0.1232,-1.0
2000-08-18,0.1003,-1.0
2000-08-25,0.0874,-1.0
2000-09-01,0.1176,-1.0
2000-09-06,0.1491,-1.0
2000-09-08,0.1475,-1.0
2000-09-15,0.115,-1.0
2000-09-22,0.149,-1.0
2000-09-29,0.1089,-1.0
2000-10-03,0.0683,-1.0
2000-10-06,0.1043,-1.0
2000-10-11,0.1152,-1.0
2000-10-13,0.1653,-1.0
2000-10-20,0.1893,-1.0
2000-10-27,0.1727,-1.0
2000-11-02,0.0582,-1.0
2000-11-03,0.1171,1.0
2000-11-08,0.122,-1.0
2000-11-10,0.1162,-1.0
2000-11-17,0.1117,-1.0
2000-11-24,0.1368,-1.0
2000-12-01,0.163,-1.0
2000-12-05,0.183,-1.0
2000-12-08,0.1245,-1.0
2000-12-15,0.1388,-1.0
2000-12-22,0.1463,-1.0
2000-12-29,0.0887,-1.0
2001-01-05,0.1788,-1.0
2001-01-06,0.0751,-1.0
2001-01-12,0.1797,-1.0
2001-01-19,0.1483,-1.0
2001-01-26,0.0898,-1.0
2001-02-02,0.1079,-1.0
2001-02-03,0.1187,-1.0
2001-02-09,0.1137,-1.0
2001-02-11,0.2765,-1.0
2001-02-16,0.1548,-1.0
2001-02-23,0.1259,-1.0
2001-03-02,0.1197,-1.0
2001-03-08,0.0864,-1.0
2001-03-09,0.0746,-1.0
2001-03-16,0.1103,-1.0
2001-03-23,0.1289,-1.0
2001-03-30,0.1341,-1.0
2001-04-05,0.0876,-1.0
2001-04-06,0.1431,-1.0
2001-04-13,0.1281,-1.0
2001-04-20,0.1359,-1.0
2001-04-27,0.1356,-1.0
2001-05-01,0.1769,-1.0
2001-05-04,0.089,-1.0
2001-05-10,0.2963,-1.0
2001-05-11,0.0819,-1.0
2001-05-18,0.0731,-1.0
2001-05-25,0.0928,0.0
2001-06-01,0.0773,0.0
2001-06-04,0.1401,0.0
2001-06-07,0.1189,-1.0
2001-06-08,0.0593,-1.0
2001-06-15,0.087,-1.0
2001-06-22,0.0634,-1.0
2001-06-29,0.1118,0.0
2001-07-06,0.122,-1.0
2001-07-09,0.2364,-1.0
2001-07-12,0.2478,-1.0
2001-07-13,0.14,-1.0
2001-07-20,0.1579,-1.0
2001-07-27,0.133,-1.0
2001-08-03,0.0887,-1.0
2001-08-06,0.0583,-1.0
2001-08-10,0.0992,-1.0
2001-08-17,0.1492,-1.0
2001-08-24,0.1078,-1.0
2001-08-31,0.1399,-1.0
2001-09-02,0.1123,-1.0
2001-09-03,0.0732,-1.0
2001-09-07,0.2412,-1.0
2001-09-11,0.2605,-1.0
2001-09-14,0.2423,-1.0
2001-09-21,0.2838,-1.0
2001-09-28,0.2971,-1.0
2001-10-05,0.2986,-1.0
2001-10-08,0.0973,-1.0
2001-10-12,0.2608,1.0
2001-10-19,0.2409,-1.0
2001-10-26,0.2464,-1.0
2001-11-02,0.2793,-1.0
2001-11-05,0.0803,-1.0
2001-11-09,0.2621,1.0
2001-11-16,0.2836,-1.0
2001-11-23,0.2366,-1.0
2001-11-30,0.2161,-1.0
2001-12-01,0.178,-1.0
2001-12-07,0.2489,-1.0
2001-12-10,0.2587,-1.0
2001-12-14,0.2196,-1.0
2001-12-21,0.2242,-1.0
2001-12-28,0.1532,-1.0
2002-01-02,0.2065,0.0
2002-01-03,0.1657,-1.0
2002-01-04,0.2193,0.0
2002-01-11,0.1902,-1.0
2002-01-18,0.2568,-1.0
2002-01-25,0.2249,-1.0
2002-02-01,0.2074,-1.0
2002-02-08,0.2477,-1.0
2002-02-15,0.1748,-1.0
2002-02-22,0.2068,-1.0
2002-03-01,0.1673,-1.0
2002-03-05,0.1759,-1.0
2002-03-08,0.1875,-1.0
2002-03-15,0.1325,-1.0
2002-03-22,0.1267,0.0
2002-03-29,0.0681,0.0
2002-04-01,0.2168,0.0
2002-04-05,0.1349,-1.0
2002-04-10,0.229,0.0
2002-04-12,0.1584,-1.0
2002-04-19,0.1684,0.0
2002-04-26,0.1245,0.0
2002-05-03,0.1764,0.0
2002-05-04,0.1345,0.0
2002-05-07,0.1675,0.0
2002-05-10,0.1545,0.0
2002-05-17,0.1414,0.0
2002-05-24,0.1271,0.0
2002-05-31,0.1372,0.0
2002-06-07,0.1523,0.0
2002-06-09,0.2028,0.0
2002-06-12,0.1483,0.0
2002-06-14,0.1596,0.0
2002-06-21,0.1463,0.0
2002-06-28,0.1111,0.0
2002-07-05,0.168,0.0
2002-07-06,0.1515,0.0
2002-07-12,0.1776,0.0
2002-07-19,0.1898,0.0
2002-07-26,0.196,0.0
2002-08-02,0.1992,0.0
2002-08-03,0.1871,0.0
2002-08-09,0.2208,0.0
2002-08-11,0.1936,0.0
2002-08-16,0.1805,0.0
2002-08-23,0.2212,0.0
2002-08-30,0.2247,0.0
2002-09-06,0.2031,0.0
2002-09-08,0.2209,0.0
2002-09-13,0.2376,-1.0
2002-09-20,0.2311,-1.0
2002-09-27,0.2127,-1.0
2002-10-04,0.2297,-1.0
2002-10-05,0.1542,-1.0
2002-10-11,0.2348,-1.0
2002-10-18,0.2325,-1.0
2002-10-25,0.2225,-1.0
2002-11-01,0.1825,-1.0
2002-11-08,0.1938,-1.0
2002-11-10,0.2341,-1.0
2002-11-15,0.1671,-1.0
2002-11-22,0.1397,-1.0
2002-11-29,0.1692,0.0
2002-12-04,0.1579,0.0
2002-12-06,0.1486,0.0
2002-12-07,0.1773,0.0
2002-12-13,0.1634,0.0
2002-12-20,0.1933,0.0
2002-12-27,0.0912,0.0
2003-01-03,0.1318,0.0
2003-01-08,0.0643,0.0
2003-01-10,0.1377,0.0
2003-01-17,0.1681,0.0
2003-01-24,0.1628,0.0
2003-01-31,0.172,0.0
2003-02-05,0.0885,0.0
2003-02-07,0.1309,0.0
2003-02-14,0.1618,0.0
2003-02-21,0.1214,0.0
2003-02-28,0.1604,0.0
2003-03-01,0.1316,0.0
2003-03-07,0.1426,0.0
2003-03-10,0.1201,0.0
2003-03-14,0.1692,0.0
2003-03-21,0.1682,0.0
2003-03-28,0.1522,0.0
2003-04-04,0.1672,0.0
2003-04-07,0.0836,0.0
2003-04-11,0.1387,0.0
2003-04-18,0.1038,0.0
2003-04-25,0.1152,0.0
2003-05-02,0.0883,0.0
2003-05-09,0.1186,0.0
2003-05-12,0.06,0.0
2003-05-16,0.0745,0.0
2003-05-23,0.1666,1.0
2003-05-30,0.131,0.0
2003-06-06,0.1599,0.0
2003-06-13,0.1472,0.0
2003-06-20,0.1604,0.0
2003-06-27,0.1174,0.0
2003-07-02,0.1315,0.0
2003-07-03,0.1434,0.0
2003-07-04,0.0841,0.0
2003-07-11,0.1352,0.0
2003-07-18,0.0807,0.0
2003-07-25,0.0647,0.0
2003-08-01,0.0646,0.0
2003-08-08,0.0643,1.0
2003-08-15,0.0751,1.0
2003-08-22,0.1522,1.0
2003-08-29,0.0993,0.0
2003-09-05,0.0838,0.0
2003-09-12,0.0719,0.0
2003-09-19,0.08,0.0
2003-09-26,0.0832,1.0
2003-10-01,0.1377,1.0
2003-10-03,0.1201,0.0
2003-10-10,0.1036,0.0
2003-10-17,0.0804,0.0
2003-10-24,0.0736,0.0
2003-10-31,0.0753,0.0
2003-11-04,0.1396,1.0
2003-11-07,0.084,0.0
2003-11-14,0.0603,0.0
2003-11-21,0.0596,1.0
2003-11-28,0.0722,1.0
2003-12-05,0.0602,1.0
2003-12-09,0.0719,1.0
2003-12-12,0.0545,1.0
2003-12-19,0.041,1.0
2003-12-26,0.0355,1.0
2004-01-02,0.0572,1.0
2004-01-09,0.1237,1.0
2004-01-10,0.0807,0.0
2004-01-16,0.1016,0.0
2004-01-23,0.0846,0.0
2004-01-30,0.0678,0.0
2004-02-01,0.0567,1.0
2004-02-04,0.0778,1.0
2004-02-06,0.0543,1.0
2004-02-07,0.0373,1.0
2004-02-13,0.0734,1.0
2004-02-20,0.0723,1.0
2004-02-27,0.0732,1.0
2004-03-05,0.098,1.0
2004-03-09,0.0797,1.0
2004-03-12,0.0947,1.0
2004-03-19,0.0853,1.0
2004-03-26,0.0834,1.0
2004-04-02,0.078,1.0
2004-04-06,0.0485,1.0
2004-04-09,0.0943,1.0
2004-04-16,0.0821,1.0
2004-04-23,0.0745,1.0
2004-04-30,0.0787,1.0
2004-05-03,0.0978,1.0
2004-05-07,0.0657,1.0
2004-05-11,0.0621,1.0
2004-05-14,0.0919,1.0
2004-05-21,0.0689,1.0
2004-05-28,0.0532,1.0
2004-06-02,0.0539,1.0
2004-06-04,0.0487,1.0
2004-06-08,0.087,1.0
2004-06-11,0.0482,1.0
2004-06-18,0.0442,1.0
2004-06-25,0.0332,1.0
2004-07-02,0.037,1.0
2004-07-05,0.0651,1.0
2004-07-09,0.0278,1.0
2004-07-16,0.0394,1.0
2004-07-23,0.0688,1.0
2004-07-30,0.0816,1.0
2004-08-06,0.0867,1.0
2004-08-10,0.0527,1.0
2004-08-13,0.0625,1.0
2004-08-20,0.0427,1.0
2004-08-27,0.0715,1.0
2004-09-01,0.1232,1.0
2004-09-03,0.0792,0.0
2004-09-04,0.094,1.0
2004-09-07,0.0281,1.0
2004-09-10,0.0676,1.0
2004-09-17,0.0646,1.0
2004-09-24,0.0595,1.0
2004-10-01,0.0807,1.0
2004-10-08,0.0526,1.0
2004-10-09,0.068,1.0
2004-10-12,0.0487,1.0
2004-10-15,0.0714,1.0
2004-10-22,0.0677,1.0
2004-10-29,0.0651,1.0
2004-11-05,0.0621,1.0
2004-11-06,0.0481,1.0
2004-11-12,0.0527,1.0
2004-11-19,0.0514,1.0
2004-11-26,0.0435,1.0
2004-12-03,0.0593,1.0
2004-12-10,0.0488,1.0
2004-12-11,0.0526,1.0
2004-12-17,0.0545,1.0
2004-12-24,0.0473,1.0
2004-12-31,0.0494,1.0
2005-01-04,0.0572,1.0
2005-01-07,0.0819,1.0
2005-01-14,0.0565,1.0
2005-01-21,0.0481,1.0
2005-01-28,0.0483,1.0
2005-02-04,0.0912,1.0
2005-02-09,0.0725,1.0
2005-02-11,0.0599,1.0
2005-02-12,0.1063,1.0
2005-02-18,0.0572,1.0
2005-02-25,0.0924,1.0
2005-03-04,0.0643,1.0
2005-03-06,0.1185,1.0
2005-03-11,0.0795,0.0
2005-03-18,0.0851,1.0
2005-03-25,0.0716,1.0
2005-04-01,0.0573,1.0
2005-04-02,0.0912,1.0
2005-04-03,0.0644,1.0
2005-04-08,0.0687,1.0
2005-04-11,0.1526,1.0
2005-04-15,0.0869,0.0
2005-04-22,0.1199,0.0
2005-04-29,0.1287,0.0
2005-05-06,0.1028,0.0
2005-05-08,0.0856,0.0
2005-05-13,0.1205,0.0
2005-05-20,0.0939,0.0
2005-05-27,0.0756,0.0
2005-06-03,0.1184,0.0
2005-06-05,0.1031,0.0
2005-06-10,0.0672,0.0
2005-06-17,0.1314,0.0
2005-06-24,0.0914,0.0
2005-07-01,0.1101,0.0
2005-07-08,0.0978,0.0
2005-07-10,0.1242,0.0
2005-07-15,0.0791,0.0
2005-07-22,0.106,0.0
2005-07-29,0.0639,0.0
2005-08-04,0.0688,0.0
2005-08-05,0.0855,1.0
2005-08-07,0.0979,1.0
2005-08-12,0.0661,1.0
2005-08-19,0.0631,1.0
2005-08-26,0.0497,1.0
2005-09-02,0.0725,1.0
2005-09-09,0.0657,1.0
2005-09-12,0.0583,1.0
2005-09-16,0.0671,1.0
2005-09-23,0.0735,1.0
2005-09-30,0.1034,1.0
2005-10-06,0.0673,1.0
2005-10-07,0.1242,1.0
2005-10-14,0.1235,0.0
2005-10-21,0.105,0.0
2005-10-28,0.1382,0.0
2005-11-02,0.0599,0.0
2005-11-03,0.0795,0.0
2005-11-04,0.1524,1.0
2005-11-11,0.1076,0.0
2005-11-18,0.0976,0.0
2005-11-25,0.0761,0.0
2005-12-02,0.1061,0.0
2005-12-08,0.0661,0.0
2005-12-09,0.0582,0.0
2005-12-16,0.0809,1.0
2005-12-23,0.0617,1.0
2005-12-30,0.0392,1.0
2006-01-06,0.0776,1.0
2006-01-09,0.057,1.0
2006-01-12,0.0957,1.0
2006-01-13,0.082,1.0
2006-01-20,0.0841,1.0
2006-01-27,0.1117,1.0
2006-02-03,0.0924,1.0
2006-02-06,0.095,1.0
2006-02-10,0.1044,1.0
2006-02-17,0.0743,1.0
2006-02-24,0.0779,1.0
2006-03-02,0.0922,1.0
2006-03-03,0.1119,1.0
2006-03-10,0.1187,0.0
2006-03-11,0.0409,0.0
2006-03-17,0.0572,1.0
2006-03-24,0.0548,1.0
2006-03-31,0.0999,1.0
2006-04-07,0.0901,1.0
2006-04-08,0.1333,1.0
2006-04-14,0.079,0.0
2006-04-21,0.0682,0.0
2006-04-28,0.1088,1.0
2006-05-05,0.0766,0.0
2006-05-12,0.1011,1.0
2006-05-19,0.1853,0.0
2006-05-26,0.15,-1.0
2006-06-01,0.0776,-1.0
2006-06-02,0.095,-1.0
2006-06-09,0.1312,-1.0
2006-06-10,0.0575,-1.0
2006-06-16,0.1678,1.0
2006-06-23,0.1153,-1.0
2006-06-30,0.1261,-1.0
2006-07-04,0.0902,-1.0
2006-07-07,0.1141,-1.0
2006-07-14,0.1261,-1.0
2006-07-21,0.1094,-1.0
2006-07-28,0.1169,-1.0
2006-08-04,0.1332,-1.0
2006-08-09,0.0818,-1.0
2006-08-11,0.0865,-1.0
2006-08-12,0.0543,-1.0
2006-08-18,0.0686,1.0
2006-08-25,0.0842,0.0
2006-09-01,0.0569,0.0
2006-09-06,0.1314,1.0
2006-09-08,0.0817,0.0
2006-09-15,0.0648,1.0
2006-09-22,0.0848,1.0
2006-09-29,0.075,0.0
2006-10-02,0.1043,1.0
2006-10-03,0.1187,0.0
2006-10-06,0.0574,0.0
2006-10-11,0.0429,1.0
2006-10-13,0.0502,1.0
2006-10-20,0.0679,1.0
2006-10-27,0.0348,1.0
2006-11-03,0.041,1.0
2006-11-08,0.0867,1.0
2006-11-10,0.0428,0.0
2006-11-17,0.0393,1.0
2006-11-24,0.0355,1.0
2006-12-01,0.0957,1.0
2006-12-05,0.1011,0.0
2006-12-08,0.0542,0.0
2006-12-15,0.0498,1.0
2006-12-22,0.0342,1.0
2006-12-29,0.0382,1.0
2007-01-05,0.0821,1.0
2007-01-06,0.0717,1.0
2007-01-12,0.0679,1.0
2007-01-19,0.0322,1.0
2007-01-26,0.0619,1.0
2007-02-02,0.0511,1.0
2007-02-03,0.1665,1.0
2007-02-09,0.0582,0.0
2007-02-11,0.2473,0.0
2007-02-16,0.0948,-1.0
2007-02-23,0.0491,1.0
2007-03-02,0.1668,1.0
2007-03-08,0.2092,0.0
2007-03-09,0.1413,-1.0
2007-03-16,0.1983,0.0
2007-03-23,0.187,-1.0
2007-03-30,0.1025,-1.0
2007-04-05,0.059,0.0
2007-04-06,0.0916,0.0
2007-04-13,0.0833,0.0
2007-04-20,0.1107,1.0
2007-04-27,0.0678,0.0
2007-05-01,0.0821,1.0
2007-05-04,0.0593,1.0
2007-05-10,0.2487,1.0
2007-05-11,0.0634,-1.0
2007-05-18,0.0517,1.0
2007-05-25,0.0632,1.0
2007-06-01,0.0716,1.0
2007-06-04,0.0911,1.0
2007-06-07,0.0536,1.0
2007-06-08,0.1004,1.0
2007-06-15,0.0793,1.0
2007-06-22,0.0431,1.0
2007-06-29,0.0829,1.0
2007-07-06,0.0535,1.0
2007-07-09,0.315,1.0
2007-07-12,0.3673,-1.0
2007-07-13,0.1126,-1.0
2007-07-20,0.1167,1.0
2007-07-27,0.1556,1.0
2007-08-03,0.2088,0.0
2007-08-06,0.1006,0.0
2007-08-10,0.3112,0.0
2007-08-17,0.338,-1.0
2007-08-24,0.3526,-1.0
2007-08-31,0.3037,-1.0
2007-09-02,0.0582,-1.0
2007-09-03,0.1414,1.0
2007-09-07,0.314,0.0
2007-09-11,0.2565,-1.0
2007-09-14,0.2887,-1.0
2007-09-21,0.3551,-1.0
2007-09-28,0.3112,-1.0
2007-10-05,0.2479,-1.0
2007-10-08,0.3119,-1.0
2007-10-12,0.2329,-1.0
2007-10-19,0.2126,-1.0
2007-10-26,0.273,-1.0
2007-11-02,0.2458,-1.0
2007-11-05,0.0632,-1.0
2007-11-09,0.2548,1.0
2007-11-16,0.3099,-1.0
2007-11-23,0.4076,-1.0
2007-11-30,0.4106,-1.0
2007-12-01,0.068,-1.0
2007-12-07,0.3662,-1.0
2007-12-10,0.2338,-1.0
2007-12-14,0.3675,-1.0
2007-12-21,0.3474,-1.0
2007-12-28,0.1992,-1.0
2008-01-02,0.4907,-1.0
2008-01-04,0.313,-1.0
2008-01-08,0.3645,-1.0
2008-01-11,0.4137,-1.0
2008-01-18,0.488,-1.0
2008-01-25,0.5966,-1.0
2008-02-01,0.4895,-1.0
2008-02-05,0.3631,-1.0
2008-02-08,0.5018,-1.0
2008-02-15,0.4848,-1.0
2008-02-22,0.3797,-1.0
2008-02-29,0.4453,-1.0
2008-03-07,0.4897,-1.0
2008-03-10,0.7098,-1.0
2008-03-14,0.5431,-1.0
2008-03-21,0.5637,-1.0
2008-03-28,0.5326,-1.0
2008-04-01,0.3126,-1.0
2008-04-04,0.4906,-1.0
2008-04-07,0.4918,-1.0
2008-04-11,0.4318,-1.0
2008-04-18,0.5393,-1.0
2008-04-25,0.4513,-1.0
2008-05-02,0.3627,-1.0
2008-05-09,0.3562,1.0
2008-05-12,0.7556,0.0
2008-05-16,0.3758,-1.0
2008-05-23,0.4511,-1.0
2008-05-30,0.3718,-1.0
2008-06-06,0.5397,-1.0
2008-06-13,0.4632,-1.0
2008-06-20,0.4099,-1.0
2008-06-27,0.4251,0.0
2008-07-03,0.4901,0.0
2008-07-04,0.4903,-1.0
2008-07-11,0.3883,-1.0
2008-07-18,0.4163,-1.0
2008-07-25,0.3738,-1.0
2008-08-01,0.3634,-1.0
2008-08-02,0.503,0.0
2008-08-08,0.3923,-1.0
2008-08-15,0.3771,-1.0
2008-08-22,0.3824,-1.0
2008-08-29,0.321,-1.0
2008-09-05,0.4411,-1.0
2008-09-12,0.4792,-1.0
2008-09-19,0.5553,-1.0
